,lb_stat,lb_pvalue
Production_in_dollars,2.840236686390533,0.09193067161929441
Exports,2.2280557584611627,0.13552428918205203
Global_Food,1.3856186518928901,0.2391464001513451
China_Cat,3.2461911357340725,0.07158963678923984
China_Dog,0.9534062383165093,0.32885378155405437
USA_Cat,1.5217920623326027,0.21734850210820406
USA_Dog,3.2335883773978766,0.07214245049747338
France_Cat,2.228055758461164,0.1355242891820516
France_Dog,3.1419863637791807,0.07630083040582475
German_Cat,0.0,1.0
German_Dog,2.657312925170069,0.1030747303555349
